iter	RMSE
0	2.476145933
1	2.441437226
2	2.412112961
3	2.38525396
4	2.359384208
5	2.337085328
6	2.316043735
7	2.297143846
8	2.279902961
9	2.262626402
10	2.250303873
11	2.237657114
12	2.224541668
13	2.213974414
14	2.203082078
15	2.194201122
16	2.185256608
17	2.176469334
18	2.169770598
19	2.163518726
20	2.158504422
21	2.153396765
22	2.147137691
23	2.142264143
24	2.138274174
25	2.135045752
26	2.134404851
27	2.130945255
28	2.129974888
29	2.125756382
30	2.122373812
31	2.119845238
32	2.119087237
33	2.115981315
34	2.113688934
35	2.111339085
36	2.110292452
37	2.108963594
38	2.106769422
39	2.106679008
40	2.105266896
41	2.103246039
42	2.101472265
43	2.100626385
44	2.098654682
45	2.097812931
46	2.096913896
47	2.096415923
48	2.095704639
49	2.095506442
50	2.094326026
51	2.093270787
52	2.09197465
53	2.090906762
54	2.089992093
55	2.089633493
56	2.089375574
57	2.0890453
58	2.08856381
59	2.087470917
60	2.087100101
61	2.086643031
62	2.085206458
63	2.084055306
64	2.083111417
65	2.08247645
66	2.081850598
67	2.081368245
68	2.080370646
69	2.078954398
70	2.078544666
71	2.078268023
72	2.077723855
73	2.076310319
74	2.07592968
75	2.075774573
76	2.075016945
77	2.074378696
78	2.07399921
79	2.073672315
80	2.07309226
81	2.072469507
82	2.072151524
83	2.070962625
84	2.070649241
85	2.070277426
86	2.069526546
87	2.069398251
88	2.068740237
89	2.068484347
90	2.068118189
91	2.067573668
92	2.06652524
93	2.066286626
94	2.066092971
95	2.065572029
96	2.065009983
97	2.063930972
98	2.063485636
99	2.062513034
100	2.062144603
101	2.061071371
102	2.060878339
103	2.060301863
104	2.05953318
105	2.059219473
106	2.058552131
107	2.058271587
108	2.05815464
109	2.057444106
110	2.056947418
111	2.056628656
112	2.056138764
113	2.055726005
114	2.05548056
115	2.055196757
116	2.054866162
117	2.054324418
118	2.054273898
119	2.053628796
120	2.053466626
121	2.053125094
122	2.052996688
123	2.052755384
124	2.051853568
125	2.051446652
126	2.050901972
127	2.050608186
128	2.049921774
129	2.04950817
130	2.049247133
131	2.048612249
132	2.048279166
133	2.048156256
134	2.047914076
135	2.047408155
136	2.047274402
137	2.047126795
138	2.046578217
139	2.045993638
140	2.045667464
141	2.045304862
142	2.044668041
143	2.044368975
144	2.043813436
145	2.043633458
146	2.04311291
147	2.042866868
148	2.042659668
149	2.042346635
150	2.041878832
151	2.041556288
152	2.041469417
153	2.041135679
154	2.040816898
155	2.040702423
156	2.040662595
157	2.040455273
158	2.040146601
159	2.039492739
160	2.039148765
161	2.038864835
162	2.038662544
163	2.038551116
164	2.037923229
165	2.037773615
166	2.037639128
167	2.037418304
168	2.037014232
169	2.036680583
170	2.036535893
171	2.036108413
172	2.035539256
173	2.035264447
174	2.03482103
175	2.034509454
176	2.034100912
177	2.033826217
178	2.033735532
179	2.033444594
180	2.033238484
181	2.032829481
182	2.032422857
183	2.032211414
184	2.031888566
185	2.031584336
186	2.031157968
187	2.030840597
188	2.030451742
189	2.030191847
190	2.030025752
191	2.029638178
192	2.029310608
193	2.029148651
194	2.028817304
195	2.028431348
196	2.02830816
197	2.027941838
198	2.027607929
199	2.027406982
200	2.027315599
201	2.027026001
202	2.026668703
203	2.026369037
204	2.025752393
205	2.02562256
206	2.025249785
207	2.024715659
208	2.02450413
209	2.024477469
210	2.024027262
211	2.023657179
212	2.02347273
213	2.023246651
214	2.022533231
215	2.022143706
216	2.021954893
217	2.021776474
218	2.021697205
219	2.021342779
220	2.02123844
221	2.020774516
222	2.020687061
223	2.020571755
224	2.020372377
225	2.020130065
226	2.019674761
227	2.019496862
228	2.019138025
229	2.018938196
230	2.018741031
231	2.01843926
232	2.018256089
233	2.018113692
234	2.018040269
235	2.017729924
236	2.017278004
237	2.017006907
238	2.01673009
239	2.016485686
240	2.01611763
