iter	Passed	Remaining
0	32	18154
1	65	18223
2	98	18162
3	132	18265
4	165	18236
5	199	18332
6	233	18354
7	266	18262
8	302	18415
9	337	18435
10	369	18319
11	401	18231
12	435	18225
13	471	18277
14	506	18309
15	539	18230
16	571	18143
17	602	18054
18	634	17970
19	668	17947
20	701	17915
21	734	17872
22	768	17835
23	801	17789
24	832	17721
25	865	17675
26	896	17601
27	931	17593
28	961	17514
29	995	17481
30	1029	17462
31	1063	17442
32	1098	17437
33	1129	17367
34	1163	17355
35	1195	17306
36	1226	17236
37	1259	17195
38	1302	17293
39	1332	17225
40	1365	17188
41	1400	17178
42	1435	17156
43	1466	17096
44	1502	17091
45	1534	17050
46	1566	16992
47	1599	16964
48	1631	16911
49	1665	16888
50	1700	16875
51	1736	16859
52	1769	16823
53	1802	16793
54	1835	16754
55	1869	16726
56	1902	16691
57	1935	16650
58	1967	16606
59	2000	16573
60	2043	16619
61	2074	16563
62	2108	16530
63	2141	16497
64	2174	16461
65	2210	16443
66	2242	16397
67	2277	16376
68	2310	16343
69	2343	16307
70	2376	16267
71	2409	16227
72	2440	16183
73	2475	16156
74	2504	16098
75	2536	16052
76	2568	16011
77	2608	16018
78	2641	15984
79	2673	15938
80	2706	15904
81	2737	15855
82	2773	15836
83	2806	15801
84	2838	15760
85	2874	15743
86	2908	15712
87	2940	15670
88	2974	15643
89	3006	15600
90	3037	15555
91	3069	15515
92	3101	15473
93	3133	15433
94	3168	15407
95	3203	15385
96	3235	15343
97	3271	15320
98	3305	15291
99	3341	15271
100	3376	15243
101	3410	15213
102	3444	15181
103	3477	15145
104	3510	15112
105	3542	15071
106	3573	15028
107	3608	15000
108	3637	14951
109	3669	14911
110	3701	14872
111	3731	14827
112	3766	14799
113	3797	14758
114	3826	14708
115	3858	14669
116	3891	14636
117	3924	14599
118	3953	14551
119	3989	14528
120	4019	14483
121	4052	14447
122	4082	14404
123	4113	14364
124	4150	14343
125	4181	14302
126	4215	14273
127	4246	14232
128	4279	14199
129	4315	14175
130	4350	14146
131	4381	14106
132	4412	14066
133	4444	14030
134	4476	13993
135	4511	13965
136	4544	13932
137	4575	13890
138	4607	13854
139	4640	13820
140	4673	13789
141	4704	13748
142	4736	13712
143	4773	13691
144	4808	13662
145	4842	13631
146	4874	13595
147	4906	13558
148	4937	13520
149	4968	13482
150	5002	13449
151	5036	13418
152	5071	13390
153	5104	13357
154	5138	13327
155	5173	13299
156	5203	13258
157	5236	13224
158	5268	13189
159	5301	13153
160	5332	13116
161	5367	13087
162	5403	13061
163	5437	13030
164	5473	13003
165	5503	12962
166	5534	12924
167	5566	12888
168	5596	12848
169	5630	12817
170	5661	12780
171	5695	12748
172	5730	12719
173	5761	12682
174	5792	12645
175	5824	12609
176	5855	12571
177	5889	12540
178	5923	12509
179	5955	12474
180	5991	12446
181	6022	12408
182	6055	12374
183	6090	12346
184	6122	12310
185	6155	12277
186	6185	12238
187	6218	12205
188	6250	12169
189	6280	12131
190	6311	12095
191	6343	12059
192	6373	12021
193	6404	11983
194	6436	11949
195	6469	11915
196	6498	11876
197	6532	11843
198	6562	11806
199	6596	11773
200	6628	11740
201	6658	11701
202	6689	11665
203	6724	11636
204	6757	11603
205	6788	11567
206	6820	11533
207	6853	11499
208	6886	11466
209	6919	11434
210	6953	11402
211	6988	11372
212	7019	11336
213	7053	11304
214	7088	11276
215	7121	11242
216	7152	11206
217	7184	11171
218	7214	11135
219	7248	11103
220	7281	11070
221	7315	11038
222	7345	11001
223	7376	10965
224	7408	10931
225	7440	10896
226	7481	10876
227	7511	10839
228	7549	10812
229	7583	10781
230	7613	10744
231	7648	10714
232	7679	10679
233	7715	10649
234	7750	10619
235	7784	10588
236	7821	10560
237	7856	10530
238	7891	10500
239	7925	10467
240	7958	10435
